Table 1
Improved Catalog of Candidate Halo Wide Binaries

Primary	Other ID	Secondary	d	M_V(p)	M_V(s)	s	&lt;a&gt;	v_p	R_max	|z_max|	e	t_d/t	Cat	
NLTT 32187	HIP 62882	VBS 2	80	3.8	7.8	1.9	213	356.1	22.0	9995	0.94	0.055	A	
NLTT 32423	HIP 63239	LP 436-66	73	5.5	4.7	58	5934	84.5	11.6	320	0.26	1.000	A	
NLTT 33175	HIP 64345	LDS 3735	61	4.8	9.1	82	7015	164.4	14.6	1898	0.47	0.217	A	
NLTT 33209	HIP 64386	LDS 947	70	5.6	7.1	446	43652	117.5	11.0	511	0.37	0.980	A	
NLTT 33282		NLTT 33283	188	8.7	9.2	10	2635						CG	
NLTT 33527	HIP 64797	BD 17 2611B	11	6.3	10.1	4	63	48.8	11.1	50	0.17	1.000	A	
NLTT 34609	G255-038 A	G 255-038 Bq	45	6.6	10.3	14.34	901	183.1	9.3	327	0.29	1.000	Z	
NLTT 35210	HIP 67246	LDS 3101	31	3.9	7.5	486	20828	68.0	9.1	195	0.25	1.000	A	
NLTT 35299	HIP 67408	BD -35 9019B	28	4.3	8.2	12	475	59.8	8.8	33	0.24	1.000	A	
NLTT 35953		NLTT 35954	452	10.6	9.8	10.5	6641						CG	
NLTT 35991		NLTT 36000	52	11.7	9.1	133.4	9792						CG	
NLTT 36418	HIP 69220	BD -44 9130	49	4.9	11.0	4	273	79.8	9.0	795	0.24	0.511	A	
NLTT 36418	HIP 69220	BD 44 9130	49	4.9	7.0	57	3893	79.8	9.0	795	0.24	0.511	A	
NLTT 36674		NLTT 36675	174	9.4	9.4	2	487						CG	
NLTT 37675		NLTT 37676	162	9.3	9.3	2	454						CG	
NLTT 37787		NLTT 37790	193	9.9	6.4	200.9	54283	470.0	115.2	109015	0.92	0.003	CG	
NLTT 37935	HIP 71505	LP 500-101	99	4.6	5.7	27	3741	140.5	11.3	158	0.46	1.000	A	
NLTT 37997	HIP 71735	LDS 485	27	5.2	9.0	490	18825	74.1	11.1	922	0.19	0.422	A	
NLTT 38115		NLTT 38116	427	3.9	3.9	6	3583						CG	
NLTT 38195	G 66-022	BD +06 2932 B	73	6.1	9.0	3.6	443	267.6	18.1	10301	0.96	0.137	Z	
NLTT 39117		NLTT 39119	375	11.1	5.7	56.7	29736						CG	
NLTT 39442	HIP 74199	LP 424-27	132	6.4	6.6	677	125073	306.7	15.6	7088	0.87	0.075	A	
NLTT 39456	HIP 74235	NLTT 39457	29	6.7	7.1	300.7	12380	592.2	67.0	6410	0.86	0.088	ACG	
NLTT 39616	HIP 74549	BD -40 9410	51	4.9	5.0	17	1213	81.6	9.4	216	0.28	1.000	A	
NLTT 39941	HIP 75069	Ross 1050	45	6.0	9.3	190	11856	58.9	9.5	656	0.14	0.638	A	
NLTT 40737		NLTT 40738	540	8.9	8.9	1.6	1209						CG	
NLTT 40901		NLTT 40902	90	10.0	12.0	4	501						CG	
NLTT 41756	G 16-25	VB 6	256	6.3	8.7	1.5	537	515.9	19.9	6958	0.43	0.060	A	
NLTT 42554		NLTT 42555	262	7.7	10.2	5	1832						CG	
NLTT 42846	HIP 80630		66	5.5	11.0	23	2125	186.8	10.8	313	0.67	1.000	A	
NLTT 42969	LP745-22	LP745-23	31	9.1	9.6	126	3905						R	
NLTT 43097	G153-067	G 017-027j	48	6.2	10.5	1170.7	79139	162.7	9.4	5692	0.69	0.074	Z	
NLTT 43594		NLTT 43595	158	6.6	8.0	6	1331						CG	
NLTT 44127	HIP 83591	BD -4 4226	11	7.5	9.4	184	2770	74.8	8.9	300	0.28	1.000	A	
NLTT 44256		NLTT 44257	139	11.2	11.2	1.5	292						CG	
NLTT 44816	HIP 85378	NLTT 44814	69	4.3	5.5	67	6463	128.9	9.0	1489	0.43	0.253	A	
NLTT 45000		NLTT 45001	332	11.4	11.1	9.5	4408						CG	
NLTT 45605	HIP 87533		66	3.5	7.0	1	93	133.3	9.2	526	0.51	0.955	A	
NLTT 45995	HIP 88937		40	4.6	10.1	4.6	260	56.5	8.5	210	0.23	1.000	A	
NLTT 46029	HIP 89000		47	2.3	8.3	7.2	473	36.2	8.5	223	0.13	1.000	A	
NLTT 46029	HIP 89000		47	2.3	6.6	104	6808	36.2	8.5	223	0.13	1.000	A	
NLTT 46118	G204-049	G204-049B	86	6.2	10.5	2.7	324	218.3	12.0	1163	0.50	0.377	Z	
NLTT 46748	HIP 91360	LP 690-95	37	5.5	11.9	36	1868	76.1	8.5	57	0.35	1.000	A	
NLTT 46857	HIP 91605		24	6.8	10.3	9	301	108.2	13.2	484	0.33	1.000	A	
NLTT 47194	HIP 92960	LP 691-17	75	5.8	10.6	33	3452	145.6	11.3	311	0.47	1.000	A	
NLTT 47748		NLTT 47749	254	9.1	8.5	7	2490						CG	
NLTT 47955	HIP 96333	LP 869-10	72	4.7	9.3	40	4031	102.5	8.8	157	0.43	1.000	A	
NLTT 47955	HIP 96333		72	4.7	6.7	1.4	141	102.5	8.8	157	0.43	1.000	A	
NLTT 47984	HIP 96402		39	4.6	10.8	3	164	64.3	8.7	257	0.25	1.000	A	
NLTT 48072		NLTT 48073	44	11.7	11.7	4.5	276						CG	
NLTT 48140		NLTT 48142	171	4.1	6.6	25.7	6135						CG	
NLTT 48402	HIP 97940	BD 1 4135	47	5.4	5.7	163	10802	57.2	9.1	290	0.19	1.000	A	
NLTT 48402	HIP 97940		47	5.4	8.1	76.8	5089	57.2	9.1	290	0.19	1.000	A	
NLTT 48652	HIP 98767	BD 29 3872B	16	4.7	13.8	178	3959	64.4	8.5	990	0.11	0.346	A	
NLTT 48686	HIP 99029		75	4.9	6.6	2	210	98.4	8.9	316	0.39	1.000	A	
NLTT 48832	HIP 99461	LPM 452	6	6.4	12.5	8	68	130.1	11.3	1139	0.38	0.351	A	
NLTT 49312	HIP 100970		37	4.0	7.5	3	157	96.0	9.2	425	0.35	1.000	A	
NLTT 49486		NLTT 49487	115	9.8	7.0	4	645						CG	
NLTT 49474		NLTT 49477	146	5.3	12.4	89.1	18268						CG	
NLTT 49562	G 262-021	G 262-022r	281	6.7	7.2	29.54	12155	370.5	40.0	27828	0.98	0.031	ZR	
NLTT 49624		NLTT 49625	254	7.8	7.8	1.5	533						CG	
NLTT 49746	G 230-047A	G 230-047Bl	78	5.7	10.7	11.63	1159	226.6	10.9	1007	0.27	0.401	Z	
NLTT 49819		NLTT 49821	289	7.1	5.9	25.1	10165						CG	
NLTT 49903	G 230-049A	G 230-049Bm	57	4.7	4.8	1.33	106	234.9	11.7	276	0.30	1.000	Z	
NLTT 50559	HIP 104214	BD 38 4344	4	7.5	8.3	24.6	86	95.0	10.1	13	0.32	1.000	A	
NLTT 50761	HIP 104660		56	4.3	6.3	1.3	101	142.3	10.9	476	0.48	1.000	A	
NLTT 50824		NLTT 50827	375	7.0	4.9	62.7	32910						CG	
NLTT 51353	HIP 106074	Wolf 478	51	7.6	9.1	1.1	80	278.0	8.8	1919	0.80	0.234	A	
NLTT 51353	HIP 106074	LDS 518	51	7.6	12.1	0.7	50	278.0	8.8	1919	0.80	0.234	A	
NLTT 51459	G26-8	LP 637-61	72	6.4	9.9	9.5	957	104.9	9.9	52	0.37	1.000	A	
NLTT 51479	HIP 106335	LP 564-23	49	6.9	8.6	0.7	48	133.1	10.9	97	0.45	1.000	A	
NLTT 51479	HIP 106335	BD 31 3025	49	6.9	12.5	132	9119	133.1	10.9	97	0.45	1.000	A	
NLTT 51780	G 93-027	G093-027B	136	6.0	8.7	3.52	672	259.8	14.4	2596	0.45	0.149	Z	
NLTT 51964	G188-022	G188-022B	130	4.5	11.4	5.08	922	218.1	12.7	1710	0.62	0.240	Z	
NLTT 51992		NLTT 51993	1138	8.0	7.6	3	4779						CG	
NLTT 52131	G214-001	G214-001B	170	5.9	11.7	5.14	1221	167.1	10.3	1640	0.64	0.237	Z	
NLTT 52532		NLTT 52538	249	7.9	11.9	37.3	12994						CG	
NLTT 52648		NLTT 52649	954	6.0	6.0	5	6679						CG	
NLTT 52786		NLTT 52787	167	5.8	5.3	2	468	162.4	9.7	3623	0.58	0.123	CG	
NLTT 52864	G 18-24		119	6.6	11.0	99	16489	201.9	10.4	757	0.76	0.724	A	
NLTT 53061		NLTT 53062	39	9.6	9.6	2	110						CG	
NLTT 53254		NLTT 53255	106	9.2	9.6	53.8	7980						CG	
NLTT 53376		NLTT 53377	270	9.6	11.8	5	1886						CG	
NLTT 53617		NLTT 53618	118	10.1	10.1	3	494						CG	
NLTT 54517	LP520-70	LP520-71	107	5.5	8.1	229	24591						R	
NLTT 54708	LP521-3	LP521-4	151	5.2	7.1	38	5741						R	
NLTT 55277		NLTT 55278	396	5.9	8.6	4	2218						CG	
NLTT 55287	HIP 113231	BD -8 5980B	35	5.3	13.6	42	2047	81.0	9.8	154	0.28	1.000	A	
NLTT 55326	HIP 113280	BD 16 4838B	32	6.7	8.3	5	225	28.4	8.5	250	0.09	1.000	A	
NLTT 55719		NLTT 55720	104	12.7	12.7	3	435						CG	
NLTT 55912	G 028-040	LP 581-80	124	5.8	8.9	15.81	2467	178.9	10.5	230	0.53	1.000	Z	
NLTT 55994		NLTT 55997	234	5.4	10.4	50	16392						CG	
NLTT 56357	HIP 114962	BD -36 13940B	39	6.2	13.8	15	819	237.9	12.9	575	0.78	0.964	A	
NLTT 56335	HIP 114980	BD -67 2593	27	6.8	6.6	71	2709	82.5	8.5	380	0.35	1.000	A	
NLTT 56392	HIP 115012		55	4.2	5.8	1	77	72.4	8.9	155	0.29	1.000	A	
NLTT 56856	HIP 115684	LP 346-72	89	4.9	7.2	260	32230	103.4	10.7	334	0.32	1.000	AZ	
NLTT 56926	G216-045	G216-045B	143	5.5	14.0	31.45	6305	257.1	14.4	94	0.43	1.000	Z	
NLTT 57220	G128-077	G128-077B	209	6.8	9.6	9.18	2692	210.8	12.3	1047	0.59	0.472	Z	
NLTT 57259		NLTT 57262	222	12.4	9.6	13.5	4193						CG	
NLTT 57309	HIP 116421		32	4.3	11.4	8	362	131.2	9.0	1407	0.46	0.269	A	
NLTT 57558		NLTT 57559	223	10.7	12.2	15.3	4772						CG	
NLTT 57749		NLTT 57756	23	10.6	11.3	94.3	3034						CG	
NLTT 57823		NLTT 57827	433	10.0	8.8	39.5	23942						CG	
NLTT 58235	G273-152	G273-152B	80	5.6	11.3	3.84	430	217.2	10.0	323	0.20	1.000	Z	
NLTT 58594		NLTT 58595	388	8.9	8.9	7	3804						CG	
